cruise,station,date
AFR038,A2991,1985-11-13
AFR038,A2992,1985-11-13
AFR038,A2993,1985-11-13
AFR038,A2997,1985-11-14
AFR038,A2999,1985-11-14
AFR038,A3001,1985-11-14
AFR038,A3004,1985-11-14
AFR038,A3026,1985-11-15
AFR038,A3027,1985-11-15
AFR038,A3028,1985-11-15
AFR038,A3032,1985-11-15
AFR038,A3035,1985-11-15
AFR038,A3039,1985-11-15
AFR038,A3041,1985-11-16
AFR038,A3067,1985-11-17
AFR038,A3068,1985-11-17
AFR038,A3069,1985-11-17
AFR038,A3070,1985-11-17
AFR038,A3072,1985-11-17
AFR038,A3074,1985-11-17
AFR038,A3077,1985-11-17
AFR038,A3081,1985-11-17
AFR038,A3084,1985-11-17
AFR038,A3086,1985-11-18
AFR038,A3090,1985-11-18
AFR038,A3092,1985-11-18
AFR038,A3115,1985-11-19
AFR038,A3119,1985-11-19
AFR038,A3122,1985-11-19
AFR038,A3124,1985-11-19
AFR038,A3125,1985-11-19
AFR038,A3160,1985-11-21
AFR038,A3161,1985-11-21
AFR038,A3164,1985-11-21
AFR038,A3166,1985-11-21
AFR038,A3171,1985-11-21
AFR038,A3173,1985-11-21
AFR038,A3176,1985-11-22
AFR038,A3178,1985-11-22
AFR038,A3180,1985-11-22
AFR038,A3182,1985-11-22
AFR038,A3184,1985-11-22
AFR038,A3185,1985-11-22
AFR038,A3186,1985-11-22
AFR038,A3196,1985-11-23
AFR038,A3197,1985-11-23
AFR038,A3198,1985-11-23
AFR038,A3200,1985-11-23
AFR038,A3202,1985-11-23
AFR038,A3204,1985-11-23
AFR038,A3206,1985-11-23
AFR038,A3207,1985-11-23
AFR038,A3219,1985-11-24
AFR038,A3220,1985-11-24
AFR038,A3222,1985-11-24
AFR038,A3225,1985-11-24
AFR038,A3227,1985-11-24
AFR038,A3229,1985-11-24
AFR038,A3230,1985-11-24
AFR038,A3239,1985-11-25
AFR038,A3240,1985-11-25
AFR038,A3242,1985-11-25
AFR038,A3243,1985-11-25
AFR038,A3244,1985-11-25
AFR038,A3245,1985-11-25
AFR038,A3277,1985-11-27
AFR038,A3281,1985-11-27
AFR038,A3284,1985-11-27
AFR038,A3286,1985-11-28
AFR038,A3297,1985-11-30
AFR038,A3299,1985-11-30
AFR038,A3302,1985-11-30
AFR038,A3305,1985-11-30
AFR038,A3308,1985-12-01
AFR038,A3309,1985-12-01
AFR038,A3311,1985-12-01
AFR038,A3313,1985-12-01
AFR038,A3315,1985-12-01
AFR038,A3318,1985-12-01
AFR038,A3321,1985-12-01
AFR049,A4822,1986-11-13
AFR049,A4823,1986-11-13
AFR049,A4824,1986-11-13
AFR049,A4825,1986-11-13
AFR049,A4826,1986-11-13
AFR049,A4827,1986-11-13
AFR049,A4828,1986-11-13
AFR049,A4829,1986-11-13
AFR049,A4830,1986-11-13
AFR049,A4832,1986-11-14
AFR049,A4833,1986-11-14
AFR049,A4834,1986-11-14
AFR049,A4835,1986-11-14
AFR049,A4836,1986-11-14
AFR049,A4837,1986-11-14
AFR049,A4839,1986-11-14
AFR049,A4840,1986-11-14
AFR049,A4841,1986-11-14
AFR049,A4842,1986-11-14
AFR049,A4843,1986-11-14
AFR049,A4845,1986-11-14
AFR049,A4846,1986-11-14
AFR049,A4846a,1986-11-14
AFR049,A4847,1986-11-14
AFR049,A4849,1986-11-14
AFR049,A4850,1986-11-14
AFR049,A4851,1986-11-14
AFR049,A4852,1986-11-15
AFR049,A4853,1986-11-15
AFR049,A4854,1986-11-15
AFR049,A4855,1986-11-15
AFR049,A4857,1986-11-15
AFR049,A4858,1986-11-15
AFR049,A4859,1986-11-15
AFR049,A4860,1986-11-15
AFR049,A4861,1986-11-15
AFR049,A4863,1986-11-15
AFR049,A4864,1986-11-15
AFR049,A4865,1986-11-15
AFR049,A4866,1986-11-15
AFR049,A4867,1986-11-15
AFR049,A4868,1986-11-15
AFR049,A4869,1986-11-15
AFR049,A4870,1986-11-15
AFR049,A4871,1986-11-15
AFR049,A4873,1986-11-15
AFR049,A4874,1986-11-15
AFR049,A4876,1986-11-16
AFR049,A4877,1986-11-16
AFR049,A4878,1986-11-16
AFR049,A4879,1986-11-16
AFR049,A4880,1986-11-16
AFR049,A4881,1986-11-16
AFR049,A4883,1986-11-16
AFR049,A4885,1986-11-16
AFR049,A4886,1986-11-16
AFR049,A4887,1986-11-16
