cruise,date
1993/0001,1992-11-06
1993/0001,1992-11-07
1993/0001,1992-11-08
1993/0001,1992-11-09
1993/0001,1992-11-11
1993/0001,1992-11-13
1993/0001,1992-11-14
1993/0001,1992-11-15
1993/0001,1992-11-19
1993/0001,1992-11-20
1993/0001,1992-11-23
1993/0001,1992-11-24
1993/0001,1992-11-25
1993/0001,1992-11-26
1993/0001,1992-11-27
1993/0001,1992-11-28
1993/0002,1993-01-20
1993/0002,1993-01-21
1993/0002,1993-01-22
1993/0002,1993-01-23
1993/0002,1993-01-24
1993/0002,1993-01-25
1993/0002,1993-01-26
1993/0002,1993-01-27
1993/0002,1993-01-28
1993/0002,1993-01-29
1993/0002,1993-01-30
1993/0002,1993-01-31
1993/0002,1993-02-01
1993/0002,1993-02-02
1993/0002,1993-02-03
1993/0002,1993-02-04
1993/0002,1993-02-05
1993/0002,1993-02-06
1993/0022,1986-01-08
1993/0022,1986-01-09
1993/0022,1986-01-10
1993/0022,1986-01-11
1993/0022,1986-01-12
1993/0022,1986-01-13
1993/0022,1986-01-14
1993/0022,1986-01-15
1993/0022,1986-01-16
1993/0022,1986-01-17
1993/0022,1986-01-18
1993/0022,1986-01-19
1993/0022,1986-01-20
1993/0022,1986-01-21
1993/0022,1986-01-22
1993/0022,1986-01-23
1993/0022,1986-01-24
1993/0022,1986-01-25
1993/0022,1986-01-26
1993/0022,1986-01-27
1993/0022,1986-01-28
1993/0022,1986-01-29
1993/0022,1986-01-30
1993/0022,1986-01-31
1993/0022,1986-02-01
1993/0022,1986-02-02
1993/0022,1986-02-03
1993/0022,1986-02-04
1993/0023,1986-08-05
1993/0023,1986-08-06
1993/0023,1986-08-07
1993/0023,1986-08-08
1993/0023,1986-08-10
1993/0023,1986-08-11
1993/0023,1986-08-12
1993/0023,1986-08-13
1993/0023,1986-08-14
1993/0023,1986-08-15
1993/0023,1986-08-16
1993/0023,1986-08-17
1993/0023,1986-08-18
1993/0023,1986-08-19
1993/0023,1986-08-20
1993/0023,1986-08-21
1993/0023,1986-08-22
1993/0023,1986-08-23
1993/0024,1986-09-13
1993/0024,1986-09-14
1993/0024,1986-09-16
1993/0024,1986-09-17
1993/0024,1986-09-18
1993/0024,1986-09-19
1993/0024,1986-09-20
1993/0024,1986-09-21
1993/0024,1986-09-22
1993/0024,1986-09-23
1993/0024,1986-09-24
1993/0024,1986-09-25
1993/0024,1986-09-26
1993/0024,1986-09-27
1993/0024,1986-09-28
1993/0024,1986-09-29
1993/0024,1986-09-30
1993/0024,1986-10-01
1993/0024,1986-10-02
1994/0001,1993-04-16
1994/0001,1993-04-17
1994/0001,1993-04-18
1994/0001,1993-04-19
1994/0001,1993-04-20
1994/0001,1993-04-21
1994/0001,1993-04-22
1994/0001,1993-04-23
1994/0001,1993-04-24
1994/0001,1993-04-25
1994/0001,1993-04-26
1994/0001,1993-04-27
1994/0001,1993-04-28
1994/0001,1993-04-29
1994/0001,1993-04-30
1994/0001,1993-05-01
1994/0001,1993-05-02
1994/0001,1993-05-03
1994/0001,1993-05-04
1994/0001,1993-05-05
1994/0001,1993-05-06
1994/0001,1993-05-07
1994/0001,1993-05-08
1994/0001,1993-05-09
1994/0001,1993-05-10
1994/0004,1993-09-02
1994/0004,1993-09-03
1994/0004,1993-09-04
1994/0004,1993-09-05
1994/0004,1993-09-06
1994/0004,1993-09-07
1994/0004,1993-09-08
1994/0004,1993-09-09
1994/0004,1993-09-10
1994/0004,1993-09-11
1994/0004,1993-09-12
1994/0004,1993-09-13
1994/0004,1993-09-14
1994/0004,1993-09-15
1994/0004,1993-09-16
1994/0004,1993-09-17
1994/0004,1993-09-18
1994/0004,1993-09-19
1994/0004,1993-09-20
1994/0004,1993-09-21
1994/0004,1993-09-22
1994/0004,1993-09-24
1994/0004,1993-09-25
1994/0004,1993-09-26
1994/0004,1993-09-28
1994/0005,1993-11-10
1994/0005,1993-11-11
1994/0005,1993-11-12
1994/0005,1993-11-13
1994/0005,1993-11-14
1994/0005,1993-11-15
1994/0005,1993-11-17
1994/0005,1993-11-18
1994/0005,1993-11-23
1994/0005,1993-11-24
1994/0005,1993-11-27
1994/0005,1993-11-29
1994/0005,1993-11-30
1994/0005,1993-12-01
1994/0005,1993-12-02
1994/0006,1992-05-13
1994/0006,1992-05-15
1994/0006,1992-05-16
1994/0006,1992-05-17
1994/0006,1992-05-19
1994/0006,1992-05-20
1994/0006,1992-05-22
1994/0006,1992-05-23
1994/0006,1992-05-24
1994/0006,1992-05-25
1994/0006,1992-05-26
1994/0006,1992-05-27
1995/0002,1994-06-08
1995/0002,1994-06-09
1995/0002,1994-06-10
1995/0002,1994-06-11
1995/0002,1994-06-12
1995/0002,1994-06-13
1995/0002,1994-06-14
1995/0002,1994-06-15
1995/0002,1994-06-16
1995/0002,1994-06-18
1995/0002,1994-06-19
1995/0002,1994-06-20
1995/0002,1994-06-22
1995/0002,1994-06-23
1995/0002,1994-06-24
1995/0002,1994-06-25
1995/0002,1994-06-26
1995/0002,1994-06-27
1995/0002,1994-06-28
1995/0002,1994-06-30
1995/0002,1994-07-01
1995/0002,1994-07-02
1995/0008,1992-04-01
1995/0008,1992-04-02
1995/0008,1992-04-03
1995/0008,1992-04-04
1995/0008,1992-04-05
1995/0008,1992-04-06
1995/0008,1992-04-07
1995/0008,1992-04-08
1995/0008,1992-04-09
1995/0008,1992-04-10
1995/0008,1992-04-11
1995/0008,1992-04-12
1995/0008,1992-04-13
1995/0008,1992-04-14
1995/0008,1992-04-15
1995/0008,1992-04-16
1995/0008,1992-04-17
1995/0008,1992-04-18
1995/0008,1992-04-19
1995/0008,1992-04-20
1995/0009,1991-01-07
1995/0009,1991-01-08
1995/0009,1991-01-09
1995/0009,1991-01-10
1995/0009,1991-01-11
1995/0009,1991-01-12
1995/0009,1991-01-13
1995/0009,1991-01-14
1995/0009,1991-01-15
1995/0009,1991-01-16
1995/0009,1991-01-17
1995/0009,1991-01-18
1995/0009,1991-01-19
1995/0009,1991-01-20
1995/0009,1991-01-21
1995/0009,1991-01-22
1995/0009,1991-01-23
1995/0009,1991-01-24
1995/0009,1991-01-25
1995/0009,1991-01-26
1995/0009,1991-01-27
1995/0009,1991-01-28
1995/0011,1990-07-13
1995/0011,1990-07-14
1995/0011,1990-07-15
1995/0011,1990-07-16
1995/0011,1990-07-18
1995/0011,1990-07-19
1995/0011,1990-07-20
1995/0011,1990-07-21
1995/0011,1990-07-22
1995/0011,1990-07-23
1995/0011,1990-07-24
1995/0011,1990-07-25
1995/0011,1990-07-26
1995/0011,1990-07-27
1995/0011,1990-07-28
1995/0011,1990-07-29
1995/0011,1990-07-30
1995/0011,1990-07-31
1995/0011,1990-08-01
1995/0011,1990-08-02
1995/0011,1990-08-03
1995/0011,1990-08-04
1995/0011,1990-08-05
